report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-27,solar,12:09,15:32,3.3833,7170.000,90.000,304.500,0.000304500,Due to overloading of ICT at 400 KV Bikaner,manual_from_scanned_pdf,medium,16,Source is image-only under pdftotext; values transcribed from rendered page 16.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-28,solar,11:01,15:31,4.5000,7470.000,95.000,427.500,0.000427500,Due to overloading on ICT's at Bikaner and 220 KV Gajner-Bikaner line,manual_from_scanned_pdf,medium,17,Source is image-only under pdftotext; values transcribed from rendered page 17.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_20march 2026 to 28 march 2026,2026-03-28,solar,11:01,15:08,4.1167,7470.000,140.000,576.333,0.000576333,Due to overloading on ICT's at 400 KV Bhadla,manual_from_scanned_pdf,medium,18,Source is image-only under pdftotext; values transcribed from rendered page 18.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69c8d1eae19d0_Curtailment_RE_Power_20march2026to28march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-10,solar,13:00,13:55,0.9167,8422.000,126.000,115.500,0.000115500,Due to outage of 220 KV Aau-Baithwasa line-I,manual_from_scanned_pdf,medium,10,Source is image-only under pdftotext; values transcribed from rendered page 10.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,10:43,11:22,0.6500,7777.000,15.000,9.750,0.000009750,Due to over load of 132 KV PS3-PS4,manual_from_scanned_pdf,medium,11,Source is image-only under pdftotext; values transcribed from rendered page 11.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,0.5000,8150.000,500.000,250.000,0.000250000,Due outage of both ICT at Bikaner for system stability,manual_from_scanned_pdf,medium,12,Source is image-only under pdftotext; values transcribed from rendered page 12.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,0.5000,8150.000,500.000,250.000,0.000250000,Due outage of both ICT at Bikaner for system stability,manual_from_scanned_pdf,medium,12,Source is image-only under pdftotext; values transcribed from rendered page 12.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,0.5000,8150.000,500.000,250.000,0.000250000,Due outage of both ICT at Bikaner for system stability,manual_from_scanned_pdf,medium,12,Source is image-only under pdftotext; values transcribed from rendered page 12.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:22,13:32,2.1667,8452.000,28.000,60.667,0.000060667,Due to over load of 132 KV PS3-PS4,manual_from_scanned_pdf,medium,12,Source is image-only under pdftotext; values transcribed from rendered page 12.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-11,solar,11:45,12:15,0.5000,8150.000,500.000,250.000,0.000250000,Due outage of both ICT at Bikaner for system stability,manual_from_scanned_pdf,medium,12,Source is image-only under pdftotext; values transcribed from rendered page 12.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
